period_end,fund_code,fund_name,category,category_label,holder_shares,holder_shares_100m,holder_ratio_pct,precision_status,total_shares,report_send_date,official_upload_date,instance_id,source_kind,holder_table_page,official_pdf_url,crosscheck_url
2014-06-30,159915,易方达创业板ETF,national_team,国家队（已识别）,,,,not_identified,1173454936,2014-08-27,2014-08-27,manager_official_pdf-159915-2014-06-30,manager_official_pdf,38,https://cdn.efunds.com.cn/owch/data/2014/08/20140826185724_0_15.pdf,https://www.efunds.com.cn/c/163/163499.shtml
2014-06-30,159915,易方达创业板ETF,other_institution,其他机构（含保险）,227950637,2.279506,19.425598,includes_unidentified_national_team,1173454936,2014-08-27,2014-08-27,manager_official_pdf-159915-2014-06-30,manager_official_pdf,38,https://cdn.efunds.com.cn/owch/data/2014/08/20140826185724_0_15.pdf,https://www.efunds.com.cn/c/163/163499.shtml
2014-06-30,159915,易方达创业板ETF,individual,个人,342453034,3.424530,29.183314,exact,1173454936,2014-08-27,2014-08-27,manager_official_pdf-159915-2014-06-30,manager_official_pdf,38,https://cdn.efunds.com.cn/owch/data/2014/08/20140826185724_0_15.pdf,https://www.efunds.com.cn/c/163/163499.shtml
2014-12-31,510300,华泰柏瑞沪深300ETF,national_team,国家队（已识别）,1304035100.00,13.040351,13.734510,lower_bound,9494587690,2015-03-31,2015-03-31,manager_official_pdf-510300-2014-12-31,manager_official_pdf,59,https://www.huatai-pb.com/data/20150331092526300.pdf,https://www.huatai-pb.com/news/information/fundReport/index.html
2014-12-31,510300,华泰柏瑞沪深300ETF,other_institution,其他机构（含保险）,7128008020.00,71.280080,75.074435,upper_bound,9494587690,2015-03-31,2015-03-31,manager_official_pdf-510300-2014-12-31,manager_official_pdf,59,https://www.huatai-pb.com/data/20150331092526300.pdf,https://www.huatai-pb.com/news/information/fundReport/index.html
2014-12-31,510300,华泰柏瑞沪深300ETF,individual,个人,1035069326,10.350693,10.901677,exact,9494587690,2015-03-31,2015-03-31,manager_official_pdf-510300-2014-12-31,manager_official_pdf,59,https://www.huatai-pb.com/data/20150331092526300.pdf,https://www.huatai-pb.com/news/information/fundReport/index.html
2014-12-31,510310,易方达沪深300ETF,national_team,国家队（已识别）,,,,not_identified,5000700345,2015-03-27,2015-03-27,manager_official_pdf-510310-2014-12-31,manager_official_pdf,56,https://cdn.efunds.com.cn/owch/data/notice/20150327/510310_%E6%98%93%E6%96%B9%E8%BE%BE%E6%B2%AA%E6%B7%B1300%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E5%8F%91%E8%B5%B7%E5%BC%8F%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912014%E5%B9%B4%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,https://www.efunds.com.cn/c/164/164907.shtml
2014-12-31,510310,易方达沪深300ETF,other_institution,其他机构（含保险）,109134947,1.091349,2.182393,includes_unidentified_national_team,5000700345,2015-03-27,2015-03-27,manager_official_pdf-510310-2014-12-31,manager_official_pdf,56,https://cdn.efunds.com.cn/owch/data/notice/20150327/510310_%E6%98%93%E6%96%B9%E8%BE%BE%E6%B2%AA%E6%B7%B1300%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E5%8F%91%E8%B5%B7%E5%BC%8F%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912014%E5%B9%B4%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,https://www.efunds.com.cn/c/164/164907.shtml
2014-12-31,510310,易方达沪深300ETF,individual,个人,67687819,0.676878,1.353567,exact,5000700345,2015-03-27,2015-03-27,manager_official_pdf-510310-2014-12-31,manager_official_pdf,56,https://cdn.efunds.com.cn/owch/data/notice/20150327/510310_%E6%98%93%E6%96%B9%E8%BE%BE%E6%B2%AA%E6%B7%B1300%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E5%8F%91%E8%B5%B7%E5%BC%8F%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912014%E5%B9%B4%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,https://www.efunds.com.cn/c/164/164907.shtml
2014-12-31,510330,华夏沪深300ETF,national_team,国家队（已识别）,1324081159,13.240812,16.437493,lower_bound,8055249828,2015-03-31,2015-03-31,public_report_mirror-510330-2014-12-31,public_report_mirror,53,https://pdf.dfcfw.com/pdf/H2_AN201503310009009261_1.pdf,"https://fund.eastmoney.com/gonggao/510330,AN201503310009009261.html"
2014-12-31,510330,华夏沪深300ETF,other_institution,其他机构（含保险）,717758820,7.177588,8.910448,upper_bound,8055249828,2015-03-31,2015-03-31,public_report_mirror-510330-2014-12-31,public_report_mirror,53,https://pdf.dfcfw.com/pdf/H2_AN201503310009009261_1.pdf,"https://fund.eastmoney.com/gonggao/510330,AN201503310009009261.html"
2014-12-31,510330,华夏沪深300ETF,individual,个人,56813666,0.568137,0.705300,exact,8055249828,2015-03-31,2015-03-31,public_report_mirror-510330-2014-12-31,public_report_mirror,53,https://pdf.dfcfw.com/pdf/H2_AN201503310009009261_1.pdf,"https://fund.eastmoney.com/gonggao/510330,AN201503310009009261.html"
2014-12-31,159919,嘉实沪深300ETF,national_team,国家队（已识别）,,,,not_identified,12457906477,2015-03-31,2015-03-31,public_report_mirror-159919-2014-12-31,public_report_mirror,53,https://pdf.dfcfw.com/pdf/H2_AN201503310009017326_1.pdf,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=5449554c4f6a4c462b35513d
2014-12-31,159919,嘉实沪深300ETF,other_institution,其他机构（含保险）,3119730794,31.197308,25.042175,includes_unidentified_national_team,12457906477,2015-03-31,2015-03-31,public_report_mirror-159919-2014-12-31,public_report_mirror,53,https://pdf.dfcfw.com/pdf/H2_AN201503310009017326_1.pdf,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=5449554c4f6a4c462b35513d
