date,code,shares_100m,exchange,source
2016-11-01,510300,56.902877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-01,510310,26.683074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-01,510330,46.109498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-02,159919,47.215064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-02,510300,56.704877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-02,510310,26.643074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-02,510330,46.064498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-03,159919,47.179064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-03,510300,56.362877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-03,510310,26.643074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-03,510330,46.055498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-04,159919,47.179064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-04,510300,56.038877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-04,510310,26.643074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-04,510330,46.055498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-07,159919,47.170064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-07,510300,56.038877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-07,510310,26.623074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-07,510330,46.055498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-08,159919,47.143064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-08,510300,55.885877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-08,510310,26.563074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-08,510330,46.028498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-09,159919,47.143064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-09,510300,54.886877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-09,510310,26.543074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-09,510330,46.028498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-10,159919,47.125064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-10,510300,54.859877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-10,510310,26.483074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-10,510330,46.028498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-11,159919,47.125064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-11,510300,55.219877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-11,510310,26.383074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-11,510330,46.028498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-14,159919,47.035064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-14,510300,54.823877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-14,510310,26.323074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-14,510330,45.929498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-15,159919,46.990064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-15,510300,53.959877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-15,510310,26.283074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-15,510330,45.911498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-16,159919,46.936064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-16,510300,53.212877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-16,510310,26.263074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-16,510330,45.902498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-17,159919,46.927064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-17,510300,52.645877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-17,510310,26.243074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-17,510330,45.902498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-18,159919,46.891064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-18,510300,52.438877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-18,510310,26.243074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-18,510330,45.902498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-21,159919,46.819064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-21,510300,52.535046,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-21,510310,26.243074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-21,510330,45.902498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-22,159919,46.765064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-22,510300,52.789634,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-22,510310,26.183074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-22,510330,45.902498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-23,159919,46.630064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-23,510300,52.882877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-23,510310,26.183074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-23,510330,45.902498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-24,159919,46.594064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-24,510300,52.528877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-24,510310,26.123074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-24,510330,45.857498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-25,159919,46.540064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-25,510300,52.714981,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-25,510310,26.083074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-25,510330,45.704498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-28,159919,46.522064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-28,510300,52.762877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-28,510310,26.083074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-28,510330,45.718640,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-29,159919,46.459064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-29,510300,52.537877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-29,510310,26.083074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-29,510330,45.722498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-30,159919,46.342064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-11-30,510300,52.960877,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-30,510310,26.083074,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-30,510330,45.722498,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-01,159919,46.333064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-12-01,510300,52.950099,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-01,510310,26.083074,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-01,510330,45.731498,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-02,159919,46.387064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-12-02,510300,53.041877,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-02,510310,26.043074,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-02,510330,45.731498,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-05,159919,46.387064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-12-05,510300,53.734877,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-05,510310,26.003195,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-05,510330,45.749100,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-06,159919,46.423064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-12-06,510300,53.545877,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-06,510310,26.023074,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-06,510330,45.749498,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-07,159919,46.450064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-12-07,510300,53.185877,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-07,510310,26.003074,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-07,510330,45.749498,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-08,159919,46.450064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-12-08,510300,53.995877,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-08,510310,26.003074,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-08,510330,45.757453,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-09,159919,46.450064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-12-09,510300,53.923877,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-09,510310,26.003074,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-09,510330,45.758498,上交所,https://query.sse.com.cn/commonQuery.do
2016-12-12,159919,46.450064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-12-12,510300,54.283877,上交所,https://query.sse.com.cn/commonQuery.do
