date,code,shares_100m,exchange,source,quality,method
2012-05-30,510300,102.433877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-05-31,159915,6.773230,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-05-31,159919,193.321252,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-05-31,510300,101.956877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-01,159915,6.775725,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-01,159919,193.381853,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-01,510300,101.533877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-04,159915,6.777997,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-04,159919,193.259154,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-04,510300,98.230877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-05,159915,6.778383,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-05,159919,193.358024,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-05,510300,96.790877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-06,159915,6.784091,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-06,159919,193.576646,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-06,510300,96.439877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-07,159915,6.779048,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-07,159919,193.550555,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-07,510300,93.946877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-08,159915,6.773372,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-08,159919,192.311471,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-08,510300,93.766877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-11,159915,6.774685,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-11,159919,192.751500,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-11,510300,94.391197,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-12,159915,6.775308,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-12,159919,192.675551,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-12,510300,93.604877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-13,159915,6.772964,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-13,159919,193.306033,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-13,510300,93.190877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-14,159915,6.770971,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-14,159919,192.056261,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-14,510300,92.830877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-15,159915,6.776865,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-15,159919,193.135382,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-15,510300,93.307736,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-18,159915,6.774653,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-18,159919,194.927648,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-18,510300,93.172877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-19,159915,6.774046,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-19,159919,193.190030,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-19,510300,93.119877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-20,159915,6.774150,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-20,159919,192.429503,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-20,510300,93.316877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-21,159915,6.771770,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-21,159919,193.456459,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-21,510300,93.172877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-25,159915,6.777291,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-25,159919,193.438296,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-25,510300,94.441874,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-26,159915,6.773945,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-26,159919,192.557219,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-26,510300,95.098877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-27,159915,6.772318,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-27,159919,194.702351,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-27,510300,94.585877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-28,159915,6.772101,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-28,159919,192.202505,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-28,510300,95.208369,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-06-29,159915,6.773553,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-29,159919,192.796744,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-06-29,510300,95.917877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
